tconst,startYear,runtimeMinutes,primaryTitle
tt89617331,1964,48,Consider Her Ways
tt20555072,1964,48,Consider Her Ways
tt63118665,1964,48,Consider Her Ways
tt41420987,1964,48,Jeannine
tt94228757,1964,48,Jeannine
tt86048385,1964,48,Jeannine
tt34775934,1964,48,Lonely Place
tt10359523,1964,48,Lonely Place
tt67074482,1964,48,Lonely Place
tt53350720,1964,48,Lonely Place
tt86301842,1964,48,Man on a String
tt77121743,1964,48,Man on a String
tt82972173,1964,48,Man on a String
tt29505574,1964,48,Man on a String
tt51002081,1964,48,Memo from Purgatory
tt23796886,1964,48,Memo from Purgatory
tt73332374,1964,48,Memo from Purgatory
tt25931744,1964,48,Night Caller
tt81831878,1964,48,Night Caller
tt46161663,1964,48,Night Caller
tt74392105,1964,48,Return of Verge Likens
tt77270102,1964,48,Return of Verge Likens
tt54581661,1964,48,Return of Verge Likens
tt54515813,1964,48,See the Monkey Dance
tt96825641,1964,48,See the Monkey Dance
tt19144785,1964,48,See the Monkey Dance
tt23725959,1964,48,Ten Minutes from Now
tt79739056,1964,48,Ten Minutes from Now
tt65473775,1964,48,Ten Minutes from Now
tt93263863,1964,48,Ten Minutes from Now
tt44450932,1964,48,The Evil of Adelaide Winters
tt15191906,1964,48,The Evil of Adelaide Winters
tt89104880,1964,48,The Evil of Adelaide Winters
tt38226466,1964,48,The Gentleman Caller
tt85496207,1964,48,The Gentleman Caller
tt87752544,1964,48,The Gentleman Caller
tt75004898,1964,48,The Jar
tt81412063,1964,48,The Jar
tt75083436,1964,48,The Jar
tt65513729,1964,48,The Life Work of Juan Diaz
tt64688397,1964,48,The Life Work of Juan Diaz
tt52945777,1964,48,The McGregor Affair
tt60757399,1964,48,The McGregor Affair
tt35840534,1964,48,The Ordeal of Mrs Snow
tt39985398,1964,48,The Ordeal of Mrs Snow
tt90164858,1964,48,The Ordeal of Mrs Snow
tt34114703,1964,48,The Ordeal of Mrs Snow
tt69543726,1964,48,The Second Verdict
tt62048182,1964,48,The Second Verdict
tt61591972,1964,48,The Second Verdict
tt63322380,1964,48,The Second Verdict
tt11667852,1964,48,The Sign of Satan
tt17187528,1964,48,The Sign of Satan
tt88677893,1964,48,The Sign of Satan
tt64655344,1964,48,Three Wives Too Many
tt70412631,1964,48,Three Wives Too Many
tt67027772,1964,48,Three Wives Too Many
tt85300320,1964,48,Three Wives Too Many
tt19788384,1964,48,Triumph
tt86496790,1964,48,Triumph
tt55877032,1964,48,Triumph
tt21159632,1964,48,Waters Edge
tt48503553,1964,48,Waters Edge
tt72334289,1964,48,Waters Edge
tt63656934,1964,48,Waters Edge
tt83002569,1964,48,Who Needs an Enemy
tt84731434,1964,48,Who Needs an Enemy
tt68829489,1964,48,Who Needs an Enemy
tt36935246,1964,48,Who Needs an Enemy
tt10751216,1964,49,Lida
tt23533744,1964,49,Lida
tt96223802,1964,49,Lida
tt52746583,1964,49,Sophia
tt44592089,1964,49,Sophia
tt47083646,1964,49,Sophia
tt38257735,1964,49,Sophia
tt71163717,1964,49,The Damsel in Distress
tt44481724,1964,49,The Damsel in Distress
tt95088325,1964,49,The Damsel in Distress
tt23380840,1964,49,The HiJackers
tt90753636,1964,49,The HiJackers
tt76376554,1964,49,The HiJackers
tt18209481,1964,49,The Imprudent Politician
tt24005726,1964,49,The Imprudent Politician
tt27099901,1964,49,The Imprudent Politician
tt25484285,1964,49,The Loving Brothers
tt40226078,1964,49,The Loving Brothers
tt72835745,1964,49,The Miracle Tea Party
tt10286937,1964,49,The Miracle Tea Party
tt70959374,1964,49,The Miracle Tea Party
tt70756856,1964,49,The Noble Sportsman
tt49758160,1964,49,The Noble Sportsman
tt96837102,1964,49,The Saint Steps In
tt27117079,1964,49,The Saint Steps In
tt83831589,1964,49,The Saint Steps In
tt85523968,1964,49,The Scorpion
tt74157259,1964,49,The Scorpion
tt82247209,1964,49,The Scorpion
tt92890809,1964,49,This Is Going to Hurt Me More Than It Hurts You
tt32300137,1964,49,This Is Going to Hurt Me More Than It Hurts You
tt54663926,1964,49,This Is Going to Hurt Me More Than It Hurts You
tt93480289,1964,49,Who in His Right Mind Needs a Nice Girl
tt44902081,1964,49,Who in His Right Mind Needs a Nice Girl
tt14419557,1964,49,Who in His Right Mind Needs a Nice Girl
tt39078600,1964,5,Fearo Part 1
tt71004914,1964,5,Fearo Part 2
tt93817765,1964,5,Fearo Part 3
tt94115362,1964,5,Fearo Part 4
tt55574027,1964,5,March of the Monsters
tt25741601,1964,5,Safe Waif
tt14198398,1964,5,Simon Says
tt72726121,1964,5,The Big Shrink Part 1
tt61293796,1964,5,The Big Shrink Part 2
tt20918281,1964,5,The Big Shrink Part 3
tt94655518,1964,5,The Big Shrink Part 4
tt27238807,1964,5,Zot Part 1
tt12114024,1964,5,Zot Part 4
tt79414028,1964,15,A Diller a Dollar
tt14009255,1964,15,Good Neighbor
tt21759121,1964,15,Lemonade Stand
tt56560019,1964,50,Ballad for a Ghost
tt20890312,1964,50,Ballad for a Ghost
tt50134132,1964,50,Ballad for a Ghost
tt85469888,1964,50,Ballad for a Ghost
tt72849990,1964,50,Child of a Night
tt27435304,1964,50,Child of a Night
tt54939021,1964,50,Cry Uncle
tt69791544,1964,50,Cry Uncle
tt12995817,1964,50,Cry Uncle
tt15461744,1964,50,Cry Uncle
tt84597112,1964,50,Dark Corner
tt52155549,1964,50,Dark Corner
tt14414369,1964,50,Dark Corner
tt73298182,1964,50,Dark Corner
tt43711117,1964,50,Detour on a Road Going Nowhere
tt37839551,1964,50,Detour on a Road Going Nowhere
tt54791825,1964,50,Detour on a Road Going Nowhere
tt39816536,1964,50,Detour on a Road Going Nowhere
tt44998023,1964,50,Devils Carnival
tt88227212,1964,50,Devils Carnival
tt81254934,1964,50,Devils Carnival
tt81855369,1964,50,Devils Carnival
tt80536550,1964,50,Disneyland Goes to the Worlds Fair
tt21979563,1964,50,Disneyland Goes to the Worlds Fair
tt66141819,1964,50,Escape into Black
tt57129641,1964,50,Escape into Black
tt49146290,1964,50,Escape into Black
tt20198749,1964,50,Escape into Black
tt20204800,1964,50,Follow the White Dove with the Broken Wing
tt11410455,1964,50,Follow the White Dove with the Broken Wing
tt44247018,1964,50,Follow the White Dove with the Broken Wing
tt74141564,1964,50,Im Here to Kill a King
tt92873885,1964,50,Im Here to Kill a King
tt36269192,1964,50,Im Here to Kill a King
