tconst,startYear,runtimeMinutes,primaryTitle
tt16972119,1959,30,Luke Gets a Job
tt76163593,1959,30,Luke Gets a Job
tt80530904,1959,30,LullabyeBye BearRapid RobotGrim Pilgrim
tt51379447,1959,30,Maine Thing
tt65138196,1959,30,Maine Thing
tt56504836,1959,30,Maine Thing
tt61460761,1959,30,Make It Look Good
tt64157786,1959,30,Make It Look Good
tt14183505,1959,30,Make It Look Good
tt60679682,1959,30,Make Me Not a Witch
tt94433067,1959,30,Make Me Not a Witch
tt82975830,1959,30,Make Me Not a Witch
tt37999320,1959,30,Make Me Not a Witch
tt41484669,1959,30,Mamas Boy
tt81220006,1959,30,Mamas Boy
tt77610560,1959,30,Mamas Boy
tt47952610,1959,30,Man You Kill Me
tt94725447,1959,30,Man You Kill Me
tt71251020,1959,30,Man You Kill Me
tt41130940,1959,30,Man in the Middle
tt79880488,1959,30,Man in the Middle
tt51482087,1959,30,Man in the Middle
tt60765845,1959,30,Man of Action
tt77900915,1959,30,Man of Action
tt37575642,1959,30,Man of Peace
tt67422064,1959,30,Man of Peace
tt61941493,1959,30,Man of Peace
tt69784611,1959,30,ManKiller
tt97635900,1959,30,ManKiller
tt51295002,1959,30,Manhunt
tt55957511,1959,30,Manhunt
tt91686243,1959,30,Manhunt
tt99168249,1959,30,Manhunt
tt45953380,1959,30,Margarets Old Flame
tt58496451,1959,30,Margarets Old Flame
tt20604919,1959,30,Margarets Old Flame
tt54026651,1959,30,Marineland Mystery
tt25603462,1959,30,Marineland Mystery
tt98255372,1959,30,Marineland Mystery
tt39930535,1959,30,Marked Deck
tt16466859,1959,30,Marked for Murder
tt14778699,1959,30,Marked for Murder
tt78869826,1959,30,Marked for Murder
tt95919760,1959,30,Marked for Murder
tt70673817,1959,30,Marked for Murder
tt95042399,1959,30,Marshal Proudfoot
tt54858905,1959,30,Marshal Proudfoot
tt78862728,1959,30,Marshal Proudfoot
tt68685923,1959,30,Marshal Proudfoot
tt10210662,1959,30,Maryjo Is Missing
tt32754653,1959,30,Maryjo Is Missing
tt40224702,1959,30,Maryjo Is Missing
tt23970254,1959,30,Maryjo Is Missing
tt93816310,1959,30,Maryjo Is Missing
tt40433159,1959,30,Marys Campaign
tt21383397,1959,30,Marys Campaign
tt22119404,1959,30,Marys Campaign
tt11821208,1959,30,Marys Campaign
tt85940490,1959,30,Mask of Evidence
tt63770014,1959,30,Mask of Evidence
tt56332876,1959,30,Masquerade
tt40549629,1959,30,Masquerade
tt81235025,1959,30,Masquerade
tt44644136,1959,30,Masquerade for Murder
tt92730823,1959,30,Masquerade for Murder
tt90510053,1959,30,Masquerade for Murder
tt37827741,1959,30,Masquerade for Murder
tt51633792,1959,30,Massacre
tt47858860,1959,30,Massacre
tt26301652,1959,30,Matador Murder
tt19537356,1959,30,Matador Murder
tt66883941,1959,30,Matador Murder
tt89864476,1959,30,Mayhem to Music
tt43491150,1959,30,Mayhem to Music
tt33901516,1959,30,Mayhem to Music
tt13005891,1959,30,McCallins Daughter
tt70283528,1959,30,McCallins Daughter
tt90050119,1959,30,McCallins Daughter
tt42172931,1959,30,Melany
tt18517070,1959,30,Melany
tt12918850,1959,30,Melany
tt33917814,1959,30,Message from Clara
tt50845615,1959,30,Message from Clara
tt41541995,1959,30,Message from Clara
tt58848237,1959,30,Miguels Daughter
tt18082779,1959,30,Miguels Daughter
tt61742318,1959,30,Miguels Daughter
tt30991784,1959,30,Miguels Daughter
tt65028233,1959,30,Miguels Daughter
tt42171466,1959,30,Millionaire Alicia Osante
tt40727487,1959,30,Millionaire Alicia Osante
tt11690075,1959,30,Millionaire Alicia Osante
tt38810837,1959,30,Millionaire Alicia Osante
tt75183387,1959,30,Millionaire Alicia Osante
tt89939611,1959,30,Millionaire Andrew C Cooley
tt74267075,1959,30,Millionaire Angela Temple
tt90726417,1959,30,Millionaire Angela Temple
tt62049974,1959,30,Millionaire Angela Temple
tt91528544,1959,30,Millionaire Angela Temple
tt13286083,1959,30,Millionaire Charles Bradwell
tt20554781,1959,30,Millionaire Charles Bradwell
tt26334420,1959,30,Millionaire Doctor Joseph Frye
tt50818989,1959,30,Millionaire Doctor Joseph Frye
tt33896096,1959,30,Millionaire Gilbert Burton
tt12892520,1959,30,Millionaire Harry Brown
tt46482466,1959,30,Millionaire Henry Banning
tt72679175,1959,30,Millionaire Henry Banning
tt74396225,1959,30,Millionaire Henry Banning
tt92435241,1959,30,Millionaire Jackson Greene
tt74505234,1959,30,Millionaire Jeff Mercer
tt15520372,1959,30,Millionaire Jim Hayes
tt57983586,1959,30,Millionaire Jim Hayes
tt93860794,1959,30,Millionaire Lorraine Daggett
tt25587774,1959,30,Millionaire Lorraine Daggett
tt60070986,1959,30,Millionaire Lorraine Daggett
tt88893729,1959,30,Millionaire Marcia Forrest
tt96751081,1959,30,Millionaire Marcia Forrest
tt71751627,1959,30,Millionaire Mark Fleming
tt97071956,1959,30,Millionaire Mark Fleming
tt79606660,1959,30,Millionaire Mark Fleming
tt85393198,1959,30,Millionaire Maureen Reynolds
tt69605568,1959,30,Millionaire Maureen Reynolds
tt19639470,1959,30,Millionaire Phillip Burnell
tt67093951,1959,30,Millionaire Phillip Burnell
tt63671505,1959,30,Millionaire Sally Simms
tt85942615,1959,30,Millionaire Sally Simms
tt38548717,1959,30,Millionaire Sally Simms
tt74263928,1959,30,Millionaire Sergeant Matthew Brogan
tt40658889,1959,30,Millionaire Timothy Mackail
tt11377382,1959,30,Millionaire Timothy Mackail
tt54450154,1959,30,Millionaire Tom Hampton
tt80062620,1959,30,Miss Lovelace Comes to Tea
tt34942975,1959,30,Miss Lovelace Comes to Tea
tt27034159,1959,30,Miss Lovelace Comes to Tea
tt38058124,1959,30,Miss Lovelace Comes to Tea
tt41595512,1959,30,Mission
tt98568888,1959,30,Mission
tt93043571,1959,30,Mission to Marathon
tt37635798,1959,30,Mission to Marathon
tt80244453,1959,30,Mission to Marathon
tt25816268,1959,30,Mission to Marathon
tt66065007,1959,30,Mme Brimstone
tt97354395,1959,30,Mme Brimstone
tt57328557,1959,30,Mme Brimstone
tt10273600,1959,30,Model in the Lake
tt88591066,1959,30,Model in the Lake
tt19861027,1959,30,Monte Cristo
tt36884021,1959,30,Monte Cristo
tt26522585,1959,30,Monte Cristo
tt46441835,1959,30,Moon Landing
tt54538577,1959,30,Moon Landing
tt71849671,1959,30,Moon Probe
tt90331323,1959,30,Moon Probe
tt56096925,1959,30,Moonquake
tt58142104,1959,30,Moonquake
tt41557655,1959,30,Most Interesting Character
tt85755604,1959,30,Most Interesting Character
tt14093255,1959,30,Most Interesting Character
tt54567248,1959,30,Most Interesting Character
tt62020841,1959,30,Most Interesting Character
tt61513571,1959,30,Motor Knows BestWhatever Goes PupEl Kabong Strikes Again
tt30500518,1959,30,Mr Grims Rabbits
tt67655167,1959,30,Mr Grims Rabbits
tt44027474,1959,30,Mr Grims Rabbits
tt45474638,1959,30,Mr Jinx
tt39526306,1959,30,Mr Jinx
tt68484074,1959,30,Mr Jinx
tt70998943,1959,30,Mr Wilsons Wife Part 1
tt55700433,1959,30,Mr Wilsons Wife Part 2
tt40384002,1959,30,Mugger Murder
tt39744904,1959,30,Mugger Murder
tt88708153,1959,30,Mugger Murder
tt61459711,1959,30,Mugger Murder
tt30493885,1959,30,Murder Is the Bid
tt90566615,1959,30,Murder Is the Bid
tt81329415,1959,30,Murder Is the Bid
tt35817245,1959,30,Murder Warrant
tt42121479,1959,30,Murder Warrant
tt23773984,1959,30,Murder Warrant
tt59892633,1959,30,Murder at Sixty Feet
tt94082664,1959,30,Murder at Sixty Feet
tt66827322,1959,30,Murder at Sixty Feet
tt76551263,1959,30,Murder at the Mansion
tt70072079,1959,30,Murder at the Mansion
tt46239106,1959,30,Murder at the Mansion
tt86292708,1959,30,Murder for Credit
tt92748743,1959,30,Murder for Credit
tt28248096,1959,30,Murder for Credit
tt57307475,1959,30,Murder in CSharp Minor
tt64928044,1959,30,Murder in CSharp Minor
tt97207661,1959,30,Murder in CSharp Minor
tt56598937,1959,30,Murder in CSharp Minor
tt95911965,1959,30,Murder in HiFi
tt11529727,1959,30,Murder in HiFi
tt71690219,1959,30,Murder in HiFi
tt43302927,1959,30,Murder on the Midway
tt53931940,1959,30,Murderess
tt59440591,1959,30,Murderess
tt12422058,1959,30,Murderess
tt51139733,1959,30,Murdock
tt16792293,1959,30,Murdock
tt63838863,1959,30,Murdock
tt30764044,1959,30,Murdock
tt42335118,1959,30,Music and Mink
tt24318405,1959,30,Music to Murder By
tt72593559,1959,30,Mute Evidence
tt54338979,1959,30,Mute Evidence
tt57667779,1959,30,Mute Evidence
tt92040568,1959,30,Mute Evidence
tt35297953,1959,30,Mutiny
tt76801265,1959,30,Mutiny
tt31468296,1959,30,Nag Nag NagMasking for TroubleSwitch Witch
tt93788898,1959,30,National Treasure
tt57593421,1959,30,National Treasure
tt24855310,1959,30,National Treasure
tt86404325,1959,30,National Treasure
tt92547972,1959,30,Nature of the Night
tt96128389,1959,30,Nature of the Night
tt25214613,1959,30,Nerve Gas
tt52080825,1959,30,Nerve Gas
