tconst,startYear,runtimeMinutes,primaryTitle
tt59116981,1970,24,Busmens Perks
tt17603146,1970,24,Castle Saburac
tt20819915,1970,24,Cousin Charlie
tt61220528,1970,24,Cousin Charlie
tt14772098,1970,24,Das Bienenhaus
tt89651981,1970,24,Das Bienenhaus
tt40713366,1970,24,Das Damenkränzchen
tt45854030,1970,24,Das Damenkränzchen
tt92791235,1970,24,Der Fünfer
tt86065481,1970,24,Der Fünfer
tt50100426,1970,24,Der Gewissenhafte
tt84100997,1970,24,Der Gewissenhafte
tt60117725,1970,24,Der Nutznießer
tt82098383,1970,24,Der Nutznießer
tt36244189,1970,24,Der Roßtäuscher
tt77187788,1970,24,Der Roßtäuscher
tt17842530,1970,24,Der bydes til bryllup
tt38441148,1970,24,Die Konservendose
tt44460642,1970,24,Die Konservendose
tt99580369,1970,24,Die Trompete
tt48327643,1970,24,Die Trompete
tt55411686,1970,24,Die Vergiftung
tt38127548,1970,24,Die Vergiftung
tt48259334,1970,24,Dinner for One
tt23746681,1970,24,Dinner for One
tt86335060,1970,24,Divorce
tt42646599,1970,24,Divorce
tt39878100,1970,24,Doctor Who and the Silurians Episode 1
tt33134935,1970,24,Doctor Who and the Silurians Episode 1
tt28830071,1970,24,Doctor Who and the Silurians Episode 1
tt35055875,1970,24,Doctor Who and the Silurians Episode 5
tt60309134,1970,24,Doctor Who and the Silurians Episode 5
tt21836679,1970,24,Doctor Who and the Silurians Episode 5
tt22262794,1970,24,Doctor Who and the Silurians Episode 6
tt55921387,1970,24,Doctor Who and the Silurians Episode 6
tt80623681,1970,24,Doctor Who and the Silurians Episode 6
tt58789605,1970,24,Doctor on the Box
tt13329739,1970,24,Doris Finds an Apartment
tt50830609,1970,24,Doris Finds an Apartment
tt68251140,1970,24,Doris Leaves Todays World Part 1
tt40434910,1970,24,Doris Leaves Todays World Part 1
tt15681216,1970,24,Doris Leaves Todays World Part 2
tt15059247,1970,24,Doris Leaves Todays World Part 2
tt59922706,1970,24,Doris the Spy
tt10555075,1970,24,Doris the Spy
tt30464800,1970,24,Doris vs Pollution
tt33495355,1970,24,Doris vs Pollution
tt33883568,1970,24,Doris vs Pollution
tt10679785,1970,24,Duke the Performer
tt15234566,1970,24,Duke the Performer
tt45122860,1970,24,Duke the Performer
tt67510466,1970,24,Duke the Performer
tt49602104,1970,24,Gefährliche Begegnung
tt26406171,1970,24,Going Steady
tt74558800,1970,24,Going Steady
tt80089108,1970,24,Going Steady
tt56629626,1970,24,Góliátfólia
tt88349468,1970,24,House of Max Part 1
tt34399836,1970,24,House of Max Part 1
tt24936844,1970,24,House of Max Part 1
tt71944052,1970,24,House of Max Part 2
tt52924646,1970,24,House of Max Part 2
tt46728049,1970,24,House of Max Part 2
tt74966023,1970,24,How Can I Ignore the Man Next Door
tt37696627,1970,24,How Can I Ignore the Man Next Door
tt21719384,1970,24,If You Can Help Somebody Dont
tt96994168,1970,24,If the Shoe Pinches
tt32664253,1970,24,If the Shoe Pinches
tt82795743,1970,24,If the Shoe Pinches
tt54062921,1970,24,Inferno Episode 5
tt40446923,1970,24,Inferno Episode 5
tt59995905,1970,24,Inferno Episode 6
tt13690667,1970,24,Inferno Episode 6
tt29772356,1970,24,Its All in the Little Blue Book
tt82191462,1970,24,Its Christmas Time in the City
tt99643251,1970,24,Its Christmas Time in the City
tt53351630,1970,24,Its Never Too Late
tt55941756,1970,24,Just Good Friends
tt35668626,1970,24,Just Good Friends
tt44243394,1970,24,Just a Kid Again
